2025-08-26 16:21:51,678 INFO    MainThread:3366134 [wandb_setup.py:_flush():80] Current SDK version is 0.21.1
2025-08-26 16:21:51,679 INFO    MainThread:3366134 [wandb_setup.py:_flush():80] Configure stats pid to 3366134
2025-08-26 16:21:51,679 INFO    MainThread:3366134 [wandb_setup.py:_flush():80] Loading settings from /homes/dkreinov/.config/wandb/settings
2025-08-26 16:21:51,679 INFO    MainThread:3366134 [wandb_setup.py:_flush():80] Loading settings from /localdrive/users/dkreinov/quickdraw-mobilevit-quant/experiments/wandb/settings
2025-08-26 16:21:51,679 INFO    MainThread:3366134 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-08-26 16:21:51,679 INFO    MainThread:3366134 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /localdrive/users/dkreinov/quickdraw-mobilevit-quant/experiments/wandb/run-20250826_162151-339a4kgt/logs/debug.log
2025-08-26 16:21:51,679 INFO    MainThread:3366134 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /localdrive/users/dkreinov/quickdraw-mobilevit-quant/experiments/wandb/run-20250826_162151-339a4kgt/logs/debug-internal.log
2025-08-26 16:21:51,679 INFO    MainThread:3366134 [wandb_init.py:init():830] calling init triggers
2025-08-26 16:21:51,679 INFO    MainThread:3366134 [wandb_init.py:init():835] wandb.init called with sweep_config: {'learning_rate': 0.0008550309640394432, 'warmup_epochs': 5, 'weight_decay': 0.04146497543852356}
config: {'_wandb': {}}
2025-08-26 16:21:51,679 INFO    MainThread:3366134 [wandb_init.py:init():871] starting backend
2025-08-26 16:21:51,890 INFO    MainThread:3366134 [wandb_init.py:init():874] sending inform_init request
2025-08-26 16:21:51,895 INFO    MainThread:3366134 [wandb_init.py:init():882] backend started and connected
2025-08-26 16:21:51,896 INFO    MainThread:3366134 [wandb_run.py:_config_callback():1380] config_cb None None {'learning_rate': 0.0008550309640394432, 'warmup_epochs': 5, 'weight_decay': 0.04146497543852356}
2025-08-26 16:21:51,897 INFO    MainThread:3366134 [wandb_init.py:init():953] updated telemetry
2025-08-26 16:21:51,909 INFO    MainThread:3366134 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-08-26 16:21:52,467 INFO    MainThread:3366134 [wandb_init.py:init():1029] starting run threads in backend
2025-08-26 16:21:52,775 INFO    MainThread:3366134 [wandb_run.py:_console_start():2494] atexit reg
2025-08-26 16:21:52,775 INFO    MainThread:3366134 [wandb_run.py:_redirect():2342] redirect: wrap_raw
2025-08-26 16:21:52,775 INFO    MainThread:3366134 [wandb_run.py:_redirect():2411] Wrapping output streams.
2025-08-26 16:21:52,775 INFO    MainThread:3366134 [wandb_run.py:_redirect():2434] Redirects installed.
2025-08-26 16:21:52,778 INFO    MainThread:3366134 [wandb_init.py:init():1075] run started, returning control to user process
2025-08-26 16:27:34,822 INFO    MsgRouterThr:3366134 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
